Date,QQQ Open,QQQ High,QQQ Low,QQQ Close,Call Symbol,Call Open,Call High,Call Low,Call Close,Put Symbol,Put Open,Put High,Put Low,Put Close,Straddle Open,Straddle Close
2023-05-03,319.75,322.47,317.18,317.29,O:QQQ230503C00320000,1.61,2.85,0.01,0.01,O:QQQ230503P00320000,1.88,2.8,0.4,2.05,3.49,2.06
2023-05-04,317.06,318.23,315.115,316.17,O:QQQ230504C00317000,1.52,1.67,0.34,0.39,O:QQQ230504P00317000,1.4,2.3,0.46,1.39,2.92,1.78
2023-05-05,318.47,323.76,316.2116,322.89,O:QQQ230505C00318000,1.2,5.65,1.1,4.68,O:QQQ230505P00318000,0.8,1.0,0.01,0.01,2.0,4.69
2023-05-08,322.42,324.04,321.315,323.69,O:QQQ230508C00322000,1.1,2.08,0.45,1.59,O:QQQ230508P00322000,0.67,1.15,0.01,0.01,1.77,1.6
2023-05-09,322.0,322.88,321.32,321.64,O:QQQ230509C00322000,0.86,1.32,0.03,0.04,O:QQQ230509P00322000,0.84,0.91,0.26,0.44,1.7,0.48
2023-05-10,324.12,326.01,321.6,325.14,O:QQQ230510C00324000,1.09,1.98,0.08,1.26,O:QQQ230510P00324000,0.97,2.46,0.01,0.01,2.06,1.27
2023-05-11,325.7,326.75,324.12,326.2,O:QQQ230511C00326000,0.83,0.9,0.07,0.12,O:QQQ230511P00326000,1.15,2.04,0.04,0.06,1.98,0.18
2023-05-12,326.74,327.17,322.94,325.03,O:QQQ230512C00327000,0.75,0.96,0.01,0.01,O:QQQ230512P00327000,1.01,4.04,0.78,2.27,1.76,2.28
2023-05-15,325.51,327.03,323.96,326.79,O:QQQ230515C00326000,0.62,1.16,0.17,0.81,O:QQQ230515P00326000,1.1,2.16,0.01,0.01,1.72,0.82
2023-05-16,326.06,328.9025,326.02,327.16,O:QQQ230516C00326000,0.81,2.96,0.81,1.5,O:QQQ230516P00326000,0.76,0.79,0.01,0.01,1.57,1.51
2023-05-17,328.24,331.71,327.04,331.12,O:QQQ230517C00328000,0.94,3.73,0.38,3.25,O:QQQ230517P00328000,0.7,1.32,0.01,0.01,1.64,3.26
2023-05-18,331.52,337.49,331.5,337.27,O:QQQ230518C00332000,0.65,5.44,0.65,5.25,O:QQQ230518P00332000,1.09,1.09,0.01,0.01,1.74,5.26
2023-05-19,337.49,338.205,335.43,336.51,O:QQQ230519C00337000,1.39,1.89,0.01,0.01,O:QQQ230519P00337000,0.87,1.8,0.36,0.81,2.26,0.82
2023-05-22,336.25,338.67,336.24,337.64,O:QQQ230522C00336000,1.13,2.87,1.11,2.05,O:QQQ230522P00336000,0.84,0.86,0.01,0.01,1.97,2.06
2023-05-23,335.89,337.06,333.0,333.36,O:QQQ230523C00336000,0.95,1.52,0.01,0.01,O:QQQ230523P00336000,1.01,2.99,0.34,2.49,1.96,2.5
2023-05-24,331.37,332.905,329.56,331.65,O:QQQ230524C00331000,1.41,2.0,0.43,1.01,O:QQQ230524P00331000,1.04,1.96,0.11,0.36,2.45,1.37
2023-05-25,339.14,341.01,336.665,339.72,O:QQQ230525C00339000,1.6,2.09,0.3,1.1,O:QQQ230525P00339000,1.44,2.68,0.01,0.01,3.04,1.11
2023-05-26,340.76,349.245,340.66,348.4,O:QQQ230526C00341000,1.2,8.1,1.13,7.62,O:QQQ230526P00341000,1.4,1.45,0.01,0.01,2.6,7.63
2023-05-30,352.71,353.93,348.53,349.98,O:QQQ230530C00353000,1.3,2.0,0.01,0.01,O:QQQ230530P00353000,1.56,4.46,1.1,2.83,2.86,2.84
2023-05-31,348.37,350.6,346.51,347.99,O:QQQ230531C00348000,1.55,2.93,0.01,0.01,O:QQQ230531P00348000,1.19,1.88,0.04,0.68,2.74,0.69
2023-06-01,347.73,353.36,346.66,352.01,O:QQQ230601C00348000,1.25,5.27,0.75,4.45,O:QQQ230601P00348000,1.47,2.16,0.01,0.01,2.72,4.46
2023-06-02,353.8,355.83,352.01,354.65,O:QQQ230602C00354000,1.21,2.45,0.5,0.84,O:QQQ230602P00354000,1.39,2.48,0.01,0.01,2.6,0.85
2023-06-05,354.43,357.495,353.85,354.9,O:QQQ230605C00354000,1.45,3.5,0.4,0.96,O:QQQ230605P00354000,0.96,0.98,0.01,0.01,2.41,0.97
2023-06-06,354.28,355.82,352.93,354.84,O:QQQ230606C00354000,1.31,2.0,0.42,1.0,O:QQQ230606P00354000,0.95,1.73,0.01,0.01,2.26,1.01
2023-06-07,355.13,357.12,348.18,348.82,O:QQQ230607C00355000,1.14,2.45,0.01,0.01,O:QQQ230607P00355000,0.95,6.7,0.32,6.37,2.09,6.38
2023-06-08,349.12,353.62,348.89,353.15,O:QQQ230608C00349000,1.32,4.53,1.25,3.94,O:QQQ230608P00349000,1.24,1.36,0.01,0.01,2.56,3.95
2023-06-09,354.63,357.66,353.03,354.5,O:QQQ230609C00355000,1.06,2.9,0.01,0.03,O:QQQ230609P00355000,1.38,2.11,0.21,0.39,2.44,0.42
2023-06-12,356.19,360.59,355.2,360.49,O:QQQ230612C00356000,1.33,4.76,0.75,4.39,O:QQQ230612P00356000,1.13,1.55,0.01,0.01,2.46,4.4
2023-06-13,363.29,364.11,360.03,363.26,O:QQQ230613C00363000,1.68,2.22,0.12,0.35,O:QQQ230613P00363000,1.49,3.49,0.03,0.03,3.17,0.38
2023-06-14,363.27,366.19,360.42,365.9,O:QQQ230614C00363000,2.21,4.02,0.6,3.01,O:QQQ230614P00363000,1.91,3.3,0.01,0.01,4.12,3.02
2023-06-15,364.61,371.77,363.98,370.26,O:QQQ230615C00365000,1.3,6.71,1.03,4.8,O:QQQ230615P00365000,1.71,2.18,0.01,0.01,3.01,4.81
2023-06-16,372.72,372.85,367.48,367.93,O:QQQ230616C00373000,1.15,2.24,0.01,0.01,O:QQQ230616P00373000,2.23,5.31,1.67,5.31,3.38,5.32
2023-06-20,365.95,368.32,363.8899,366.9,O:QQQ230620C00366000,1.08,2.6,0.28,0.69,O:QQQ230620P00366000,1.1,2.48,0.01,0.01,2.18,0.7
2023-06-21,365.74,366.18,360.96,361.9,O:QQQ230621C00366000,1.11,1.38,0.01,0.01,O:QQQ230621P00366000,1.44,5.01,1.24,3.84,2.55,3.85
2023-06-22,360.63,366.33,360.22,366.17,O:QQQ230622C00361000,1.1,5.22,0.97,5.11,O:QQQ230622P00361000,1.54,1.7,0.01,0.02,2.64,5.13
2023-06-23,362.21,364.88,360.8227,362.54,O:QQQ230623C00362000,1.43,2.92,0.21,0.6,O:QQQ230623P00362000,1.01,1.96,0.01,0.02,2.44,0.62
2023-06-26,362.0,364.84,357.59,357.68,O:QQQ230626C00362000,1.33,3.0,0.01,0.01,O:QQQ230626P00362000,1.26,4.33,0.2,3.77,2.59,3.78
2023-06-27,359.25,364.57,358.51,363.83,O:QQQ230627C00359000,1.41,5.54,0.82,4.52,O:QQQ230627P00359000,1.16,1.44,0.01,0.01,2.57,4.53
2023-06-28,361.98,366.52,361.9038,364.54,O:QQQ230628C00362000,1.24,4.5,1.21,3.24,O:QQQ230628P00362000,1.18,1.29,0.01,0.01,2.42,3.25
2023-06-29,364.24,364.89,362.14,363.81,O:QQQ230629C00364000,1.32,1.81,0.01,0.14,O:QQQ230629P00364000,1.12,2.23,0.03,0.04,2.44,0.18
2023-06-30,367.55,370.49,367.23,369.42,O:QQQ230630C00368000,1.01,2.8,0.87,1.2,O:QQQ230630P00368000,1.45,1.61,0.01,0.01,2.46,1.21
2023-07-03,370.07,370.93,368.97,370.29,O:QQQ230703C00370000,0.85,1.31,0.05,0.11,O:QQQ230703P00370000,0.86,1.16,0.01,0.01,1.71,0.12
2023-07-05,368.695,372.01,368.66,370.28,O:QQQ230705C00369000,0.9,3.11,0.79,1.18,O:QQQ230705P00369000,1.22,1.28,0.01,0.01,2.12,1.19
2023-07-06,366.51,367.91,364.52,367.46,O:QQQ230706C00367000,1.01,1.2,0.17,0.64,O:QQQ230706P00367000,1.47,2.73,0.02,0.02,2.48,0.66
2023-07-07,367.23,370.48,366.01,366.24,O:QQQ230707C00367000,1.42,3.46,0.01,0.01,O:QQQ230707P00367000,1.2,1.49,0.01,0.39,2.62,0.4
2023-07-10,365.96,367.05,363.41,366.36,O:QQQ230710C00366000,1.07,1.69,0.06,0.85,O:QQQ230710P00366000,1.15,2.65,0.01,0.01,2.22,0.86
2023-07-11,366.79,368.632,364.62,368.17,O:QQQ230711C00367000,0.98,1.61,0.09,1.19,O:QQQ230711P00367000,1.15,2.61,0.01,0.01,2.13,1.2
2023-07-12,372.34,374.19,370.3,372.82,O:QQQ230712C00372000,1.51,2.53,0.28,1.08,O:QQQ230712P00372000,1.21,1.95,0.01,0.02,2.72,1.1
2023-07-13,376.05,379.99,375.46,379.15,O:QQQ230713C00376000,1.11,3.97,0.71,3.15,O:QQQ230713P00376000,1.12,1.39,0.01,0.01,2.23,3.16
2023-07-14,379.585,382.86,378.18,379.07,O:QQQ230714C00380000,1.08,3.13,0.01,0.01,O:QQQ230714P00380000,1.44,1.82,0.22,0.9,2.52,0.91
2023-07-17,379.8,383.5,379.31,382.61,O:QQQ230717C00380000,1.08,3.46,0.77,2.25,O:QQQ230717P00380000,1.29,1.45,0.01,0.01,2.37,2.26
2023-07-18,381.96,387.13,380.0,385.74,O:QQQ230718C00382000,1.11,5.0,0.33,3.33,O:QQQ230718P00382000,1.17,2.29,0.01,0.01,2.28,3.34
2023-07-19,386.82,387.98,384.3,385.65,O:QQQ230719C00387000,1.29,1.58,0.01,0.01,O:QQQ230719P00387000,1.49,2.79,0.61,2.0,2.78,2.01
2023-07-20,382.61,384.095,375.72,376.76,O:QQQ230720C00383000,1.15,1.83,0.01,0.01,O:QQQ230720P00383000,1.47,7.13,0.75,6.18,2.62,6.19
2023-07-21,379.18,379.92,375.191,375.63,O:QQQ230721C00379000,1.48,1.9,0.01,0.01,O:QQQ230721P00379000,1.37,3.81,1.02,3.2,2.85,3.21
2023-07-24,376.62,377.58,374.34,376.23,O:QQQ230724C00377000,1.17,1.51,0.01,0.01,O:QQQ230724P00377000,1.46,2.97,0.47,0.8,2.63,0.81
2023-07-25,376.95,380.47,376.93,378.78,O:QQQ230725C00377000,1.71,3.51,1.0,2.93,O:QQQ230725P00377000,1.8,1.84,0.01,0.01,3.51,2.94
2023-07-26,377.72,379.24,375.18,377.52,O:QQQ230726C00378000,1.94,2.16,0.18,0.62,O:QQQ230726P00378000,2.14,3.5,0.09,0.2,4.08,0.82
2023-07-27,383.07,384.71,375.31,376.62,O:QQQ230727C00383000,1.31,2.22,0.01,0.01,O:QQQ230727P00383000,1.21,7.6,0.53,6.06,2.52,6.07
2023-07-28,380.74,384.52,380.22,383.48,O:QQQ230728C00381000,1.09,3.62,0.88,2.24,O:QQQ230728P00381000,1.44,1.65,0.01,0.01,2.53,2.25
2023-07-31,383.79,384.88,382.34,383.68,O:QQQ230731C00384000,1.17,1.71,0.01,0.14,O:QQQ230731P00384000,1.35,2.06,0.11,0.13,2.52,0.27
2023-08-01,382.31,383.56,380.69,382.79,O:QQQ230801C00382000,1.34,1.71,0.45,0.56,O:QQQ230801P00382000,1.04,1.75,0.02,0.02,2.38,0.58
2023-08-02,379.26,379.26,373.13,374.39,O:QQQ230802C00379000,1.46,1.46,0.01,0.01,O:QQQ230802P00379000,1.14,5.85,1.14,4.37,2.6,4.38
2023-08-03,371.94,375.95,371.77,373.79,O:QQQ230803C00372000,2.15,4.05,1.58,3.95,O:QQQ230803P00372000,1.89,1.92,0.01,0.01,4.04,3.96
2023-08-04,375.75,378.1,371.53,372.04,O:QQQ230804C00376000,1.52,2.3,0.01,0.01,O:QQQ230804P00376000,1.86,4.4,0.17,3.76,3.38,3.77
2023-08-07,373.88,375.29,371.51,375.19,O:QQQ230807C00374000,1.23,1.72,0.19,1.12,O:QQQ230807P00374000,1.27,2.64,0.01,0.01,2.5,1.13
2023-08-08,372.64,372.66,368.82,372.0,O:QQQ230808C00373000,1.11,1.11,0.01,0.01,O:QQQ230808P00373000,1.5,4.17,0.65,0.95,2.61,0.96
2023-08-09,372.29,372.45,367.14,367.91,O:QQQ230809C00372000,1.34,1.46,0.01,0.01,O:QQQ230809P00372000,1.09,4.84,1.01,3.58,2.43,3.59
2023-08-10,370.97,374.36,367.035,368.59,O:QQQ230810C00371000,1.55,3.65,0.01,0.01,O:QQQ230810P00371000,1.59,4.0,0.25,2.21,3.14,2.22
2023-08-11,365.99,368.0,364.69,366.24,O:QQQ230811C00366000,1.36,2.52,0.11,0.55,O:QQQ230811P00366000,1.4,1.93,0.01,0.01,2.76,0.56
2023-08-14,365.43,370.47,364.7,370.35,O:QQQ230814C00365000,1.62,5.51,1.3,5.51,O:QQQ230814P00365000,1.17,1.58,0.01,0.01,2.79,5.52
2023-08-15,369.36,370.169,365.74,366.42,O:QQQ230815C00369000,1.53,1.96,0.01,0.01,O:QQQ230815P00369000,1.16,3.17,0.8,2.29,2.69,2.3
2023-08-16,365.87,367.43,362.44,362.54,O:QQQ230816C00366000,1.26,2.0,0.01,0.01,O:QQQ230816P00366000,1.36,3.61,0.52,3.57,2.62,3.58
2023-08-17,363.96,364.31,358.16,358.58,O:QQQ230817C00364000,1.32,1.49,0.01,0.01,O:QQQ230817P00364000,1.39,5.75,1.21,5.42,2.71,5.43
2023-08-18,355.26,359.41,354.71,358.13,O:QQQ230818C00355000,1.61,4.3,1.31,3.29,O:QQQ230818P00355000,1.43,1.58,0.01,0.01,3.04,3.3
2023-08-21,359.62,364.59,359.15,363.9,O:QQQ230821C00360000,1.15,4.6,0.65,3.5,O:QQQ230821P00360000,1.52,1.55,0.01,0.01,2.67,3.51
2023-08-22,366.55,366.56,362.68,363.38,O:QQQ230822C00367000,1.03,1.04,0.01,0.01,O:QQQ230822P00367000,1.51,4.3,1.48,3.49,2.54,3.5
2023-08-23,364.58,370.22,364.36,369.11,O:QQQ230823C00365000,1.49,5.25,1.38,4.7,O:QQQ230823P00365000,1.96,2.11,0.06,0.14,3.45,4.84
2023-08-24,372.64,372.74,361.01,361.22,O:QQQ230824C00373000,1.4,1.4,0.01,0.01,O:QQQ230824P00373000,1.74,11.74,1.73,11.74,3.14,11.75
2023-08-25,362.07,365.74,358.58,364.02,O:QQQ230825C00362000,2.0,4.3,0.45,1.97,O:QQQ230825P00362000,1.97,3.83,0.01,0.01,3.97,1.98
2023-08-28,366.99,367.71,364.25,366.76,O:QQQ230828C00367000,1.27,1.72,0.03,0.05,O:QQQ230828P00367000,1.28,2.89,0.04,0.05,2.55,0.1
2023-08-29,366.56,375.13,366.231,374.77,O:QQQ230829C00367000,1.05,8.08,0.92,8.06,O:QQQ230829P00367000,1.49,1.68,0.01,0.01,2.54,8.07
2023-08-30,374.88,377.4467,373.86,376.86,O:QQQ230830C00375000,1.34,2.54,0.7,2.04,O:QQQ230830P00375000,1.3,1.81,0.01,0.01,2.64,2.05
2023-08-31,376.94,379.719,376.87,377.99,O:QQQ230831C00377000,1.21,2.96,0.8,1.25,O:QQQ230831P00377000,1.29,1.29,0.01,0.01,2.5,1.26
2023-09-01,380.4,380.83,376.0801,377.59,O:QQQ230901C00380000,1.5,1.79,0.01,0.01,O:QQQ230901P00380000,1.16,3.89,0.98,2.41,2.66,2.42
2023-09-05,376.77,379.3093,375.83,378.07,O:QQQ230905C00377000,1.03,2.33,0.61,0.88,O:QQQ230905P00377000,1.27,1.77,0.01,0.01,2.3,0.89
2023-09-06,377.28,377.63,372.7,374.74,O:QQQ230906C00377000,1.26,1.45,0.01,0.01,O:QQQ230906P00377000,1.0,4.26,0.82,2.47,2.26,2.48
2023-09-07,370.21,372.85,369.15,372.06,O:QQQ230907C00370000,1.28,2.56,0.87,1.86,O:QQQ230907P00370000,1.17,1.85,0.01,0.01,2.45,1.87
2023-09-08,372.01,374.85,371.6,372.58,O:QQQ230908C00372000,1.22,3.0,0.17,1.05,O:QQQ230908P00372000,1.22,1.26,0.01,0.01,2.44,1.06
2023-09-11,375.66,377.49,373.66,376.97,O:QQQ230911C00376000,0.89,1.5,0.13,0.95,O:QQQ230911P00376000,1.22,2.52,0.01,0.01,2.11,0.96
2023-09-12,375.27,376.9517,372.5,372.79,O:QQQ230912C00375000,1.31,2.02,0.01,0.01,O:QQQ230912P00375000,1.01,2.47,0.34,2.02,2.32,2.03
2023-09-13,373.03,375.84,371.88,374.21,O:QQQ230913C00373000,1.36,2.82,0.45,1.67,O:QQQ230913P00373000,1.34,1.7,0.01,0.01,2.7,1.68
2023-09-14,375.99,378.27,373.89,377.27,O:QQQ230914C00376000,1.15,2.3,0.28,1.72,O:QQQ230914P00376000,1.1,2.34,0.01,0.01,2.25,1.73
2023-09-15,375.91,376.32,369.86,370.81,O:QQQ230915C00376000,1.14,1.34,0.01,0.01,O:QQQ230915P00376000,1.34,6.02,1.02,5.25,2.48,5.26
2023-09-18,369.32,371.79,369.03,370.66,O:QQQ230918C00369000,1.4,2.8,1.06,2.08,O:QQQ230918P00369000,1.07,1.19,0.01,0.01,2.47,2.09
2023-09-19,369.32,370.6826,366.8,369.87,O:QQQ230919C00369000,1.27,1.62,0.11,1.05,O:QQQ230919P00369000,0.96,2.36,0.01,0.01,2.23,1.06
2023-09-20,370.95,371.31,364.46,364.54,O:QQQ230920C00371000,1.59,1.7,0.01,0.01,O:QQQ230920P00371000,1.66,6.92,1.39,6.92,3.25,6.93
2023-09-21,360.8,361.6,357.69,357.86,O:QQQ230921C00361000,1.3,1.66,0.01,0.01,O:QQQ230921P00361000,1.44,3.48,0.65,3.27,2.74,3.28
2023-09-22,359.63,361.8,357.59,357.91,O:QQQ230922C00360000,1.06,2.08,0.01,0.01,O:QQQ230922P00360000,1.46,2.36,0.2,1.56,2.52,1.57
2023-09-25,356.93,359.7,355.93,359.61,O:QQQ230925C00357000,1.46,2.97,0.83,2.97,O:QQQ230925P00357000,1.44,2.05,0.01,0.01,2.9,2.98
2023-09-26,356.99,357.54,353.2101,354.21,O:QQQ230926C00357000,1.63,1.63,0.01,0.01,O:QQQ230926P00357000,1.42,3.73,1.03,2.15,3.05,2.16
2023-09-27,355.38,356.98,351.36,355.04,O:QQQ230927C00355000,1.49,2.26,0.04,0.82,O:QQQ230927P00355000,1.16,3.65,0.01,0.02,2.65,0.84
2023-09-28,354.11,360.17,353.24,358.01,O:QQQ230928C00354000,1.67,6.1,1.22,4.03,O:QQQ230928P00354000,1.54,1.99,0.01,0.01,3.21,4.04
2023-09-29,361.54,362.95,357.02,358.27,O:QQQ230929C00362000,1.28,1.71,0.01,0.01,O:QQQ230929P00362000,1.79,4.95,0.8,3.09,3.07,3.1
2023-10-02,358.54,362.68,357.92,361.26,O:QQQ231002C00359000,1.21,3.74,0.32,2.51,O:QQQ231002P00359000,1.66,2.01,0.01,0.01,2.87,2.52
2023-10-03,358.78,361.01,353.275,354.92,O:QQQ231003C00359000,1.31,2.61,0.01,0.01,O:QQQ231003P00359000,1.54,5.66,0.62,3.91,2.85,3.92
2023-10-04,355.77,360.61,355.3,359.75,O:QQQ231004C00356000,1.38,4.53,0.98,3.68,O:QQQ231004P00356000,1.65,1.7,0.01,0.01,3.03,3.69
2023-10-05,359.74,360.15,355.14,358.69,O:QQQ231005C00360000,1.29,1.48,0.01,0.01,O:QQQ231005P00360000,1.53,4.89,0.72,1.5,2.82,1.51
2023-10-06,355.65,365.91,354.85,364.7,O:QQQ231006C00356000,1.62,9.8,1.0,9.17,O:QQQ231006P00356000,1.84,2.28,0.01,0.01,3.46,9.18
2023-10-09,362.3,367.11,360.78,366.56,O:QQQ231009C00362000,1.63,5.11,0.68,4.76,O:QQQ231009P00362000,1.23,2.04,0.01,0.01,2.86,4.77
2023-10-10,366.9,371.28,366.39,368.59,O:QQQ231010C00367000,1.26,4.33,1.02,1.86,O:QQQ231010P00367000,1.29,1.62,0.01,0.01,2.55,1.87
